상품ID,상품영문명,사양,HS코드_정답,협력사_환경위반건수,협력사_노동평가점수,리스크_정답
P1190,Wooden Dining Table #16,"birch plywood, reinforced joints, size 36, export packaging standard",940360,3,75,위험
P1161,Printed Circuit Board #12,"aluminum-based PCB, gold-plated contacts, size 3, export packaging standard",853400,0,62,정상
P1043,Welded Steel Pipe #19,"stainless steel, circular cross-section, size 18, export packaging standard",730630,3,43,위험
P1145,Leather Dress Shoe #21,"full-grain leather, lace-up closure, size 45, export packaging standard",640351,1,45,위험
P1182,Oak Wood Cabinet #08,"FSC-certified wood, flat-pack assembly, size 1, export packaging standard",940360,0,87,정상
P1003,Cotton Jersey Top #04,"organic cotton, round neck, size 23, export packaging standard",610910,1,73,위험
P1105,LED Panel Light #06,"die-cast aluminum, energy-efficient, size 39, export packaging standard",940540,3,56,위험
P1053,Aluminum Wire #04,"aluminum alloy, coil wound, size 23, export packaging standard",760511,1,67,정상
P1133,Leather Oxford Shoe #09,"synthetic leather sole, lace-up closure, size 26, export packaging standard",640351,4,37,위험
P1227,Radial Tire #03,"reinforced sidewall, wet grip optimized, size 8, export packaging standard",401110,4,52,위험
P1193,Wooden Dining Table #19,"FSC-certified wood, reinforced joints, size 46, export packaging standard",940360,5,46,위험
P1232,Rubber Vehicle Tire #08,"steel-belted radial, DOT certified, size 7, export packaging standard",401110,1,73,정상
P1049,Carbon Steel Tube #25,"galvanized steel, threaded end, size 26, export packaging standard",730630,1,60,위험
P1163,Printed Circuit Board #14,"FR4 glass epoxy, gold-plated contacts, size 8, export packaging standard",853400,0,83,정상
P1080,Plastic Bin #06,"polypropylene, airtight lid, size 33, export packaging standard",392310,4,44,위험
P1034,Carbon Steel Tube #10,"stainless steel, seam-welded, size 6, export packaging standard",730630,3,56,위험
P1206,Prilled Urea #07,"granular form, moisture-resistant packaging, size 38, export packaging standard",310210,0,94,정상
P1007,Organic Cotton Shirt #08,"cotton-polyester blend, round neck, size 45, export packaging standard",610910,2,70,정상
P1171,FR4 Circuit Board #22,"copper-clad laminate, 4-layer stack-up, size 27, export packaging standard",853400,3,63,위험
P1110,LED Strip Lighting #11,"polycarbonate diffuser, IP65 rated, size 26, export packaging standard",940540,4,52,위험
P1091,Plastic Bin #17,"PET resin, reusable, size 43, export packaging standard",392310,0,66,정상
P1083,Plastic Storage Container #09,"PET resin, airtight lid, size 37, export packaging standard",392310,2,80,정상
P1223,Granular Urea #24,"granular form, bulk bag packaging, size 33, export packaging standard",310210,3,62,위험
P1228,Radial Tire #04,"steel-belted radial, all-season tread, size 32, export packaging standard",401110,2,58,위험
P1089,PET Storage Case #15,"high-density polyethylene, reusable, size 3, export packaging standard",392310,5,39,위험
P1008,Cotton Crew Neck Tee #09,"100% cotton, knitted, size 24, export packaging standard",610910,1,76,정상
P1013,Cotton Crew Neck Tee #14,"100% cotton, short sleeve, size 22, export packaging standard",610910,4,62,위험
P1059,Aluminum Alloy Wire #10,"6201 aluminum alloy, non-insulated, size 35, export packaging standard",760511,0,77,위험
P1215,Urea Fertilizer #16,"46% nitrogen content, slow-release coating, size 45, export packaging standard",310210,3,71,위험
P1131,Leather Ankle Boot #07,"genuine leather upper, cushioned insole, size 28, export packaging standard",640351,0,78,정상
P1017,Cotton T-Shirt #18,"cotton-polyester blend, knitted, size 7, export packaging standard",610910,3,58,위험
P1166,FR4 Circuit Board #17,"FR4 glass epoxy, 4-layer stack-up, size 24, export packaging standard",853400,5,62,위험
P1072,Bare Aluminum Conductor #23,"6201 aluminum alloy, coil wound, size 32, export packaging standard",760511,0,86,정상
P1220,Granular Urea #21,"coated urea, low biuret content, size 1, export packaging standard",310210,3,53,정상
P1134,Genuine Leather Loafer #10,"full-grain leather, rubber outsole, size 6, export packaging standard",640351,3,42,위험
P1204,Granular Urea #05,"coated urea, bulk bag packaging, size 9, export packaging standard",310210,0,71,정상
P1230,All-Season Car Tire #06,"natural rubber blend, low rolling resistance, size 1, export packaging standard",401110,5,62,위험
P1063,Bare Aluminum Conductor #14,"pure aluminum, high conductivity, size 46, export packaging standard",760511,3,43,위험
P1054,Aluminum Wire Rod #05,"1350 aluminum, coil wound, size 30, export packaging standard",760511,1,58,위험
P1107,LED Strip Lighting #08,"polycarbonate diffuser, energy-efficient, size 24, export packaging standard",940540,2,76,정상
P1050,Bare Aluminum Conductor #01,"6201 aluminum alloy, non-insulated, size 32, export packaging standard",760511,5,46,위험
P1239,Rubber Vehicle Tire #15,"reinforced sidewall, DOT certified, size 2, export packaging standard",401110,4,48,위험
P1174,FR4 Circuit Board #25,"aluminum-based PCB, surface mount, size 30, export packaging standard",853400,1,76,정상
P1208,Urea Fertilizer #09,"agricultural grade urea, bulk bag packaging, size 9, export packaging standard",310210,3,63,위험
P1189,Oak Wood Cabinet #15,"FSC-certified wood, reinforced joints, size 32, export packaging standard",940360,5,45,위험
P1246,All-Season Car Tire #22,"synthetic rubber compound, DOT certified, size 7, export packaging standard",401110,3,57,위험
P1207,Prilled Urea #08,"granular form, moisture-resistant packaging, size 12, export packaging standard",310210,5,30,위험
P1221,Prilled Urea #22,"granular form, slow-release coating, size 40, export packaging standard",310210,0,71,정상
P1169,Printed Circuit Board #20,"aluminum-based PCB, surface mount, size 41, export packaging standard",853400,0,55,위험
P1058,Aluminum Wire Rod #09,"1350 aluminum, drawn wire, size 9, export packaging standard",760511,0,73,정상
P1048,Steel Pipe Fitting #24,"alloy steel, circular cross-section, size 20, export packaging standard",730630,5,57,위험
P1088,PP Packaging Box #14,"high-density polyethylene, stackable, size 15, export packaging standard",392310,3,60,위험
P1021,Cotton Crew Neck Tee #22,"organic cotton, knitted, size 30, export packaging standard",610910,2,45,위험
P1057,Aluminum Wire #08,"aluminum alloy, non-insulated, size 10, export packaging standard",760511,4,39,위험
P1203,Urea Fertilizer #04,"46% nitrogen content, bulk bag packaging, size 21, export packaging standard",310210,0,54,위험
P1160,Multilayer PCB #11,"FR4 glass epoxy, surface mount, size 13, export packaging standard",853400,3,46,위험
P1242,All-Season Car Tire #18,"reinforced sidewall, low rolling resistance, size 43, export packaging standard",401110,3,56,위험
P1187,Wooden Dining Table #13,"solid oak wood, reinforced joints, size 23, export packaging standard",940360,0,61,정상
P1191,Oak Wood Cabinet #17,"FSC-certified wood, scratch-resistant, size 35, export packaging standard",940360,5,34,위험
P1129,Leather Oxford Shoe #05,"full-grain leather, lace-up closure, size 31, export packaging standard",640351,3,47,위험
P1037,Carbon Steel Tube #13,"alloy steel, seam-welded, size 10, export packaging standard",730630,5,49,위험
P1157,Multilayer PCB #08,"copper-clad laminate, 4-layer stack-up, size 33, export packaging standard",853400,5,39,위험
P1235,All-Season Car Tire #11,"natural rubber blend, low rolling resistance, size 22, export packaging standard",401110,4,56,위험
P1001,Cotton Jersey Top #02,"organic cotton, pre-shrunk, size 37, export packaging standard",610910,4,47,위험
P1052,Aluminum Alloy Wire #03,"aluminum alloy, drawn wire, size 39, export packaging standard",760511,5,59,위험
P1149,Leather Oxford Shoe #25,"cowhide leather, lace-up closure, size 11, export packaging standard",640351,2,60,정상
P1130,Genuine Leather Loafer #06,"genuine leather upper, hand-stitched, size 2, export packaging standard",640351,3,63,위험
P1151,Printed Circuit Board #02,"aluminum-based PCB, gold-plated contacts, size 23, export packaging standard",853400,2,42,위험
P1103,LED Strip Lighting #04,"polycarbonate diffuser, IP65 rated, size 8, export packaging standard",940540,0,73,정상
P1099,PET Storage Case #25,"polypropylene, transparent, size 1, export packaging standard",392310,0,73,정상
P1116,LED Strip Lighting #17,"polycarbonate diffuser, flicker-free, size 47, export packaging standard",940540,0,80,정상
P1087,Plastic Bin #13,"polypropylene, airtight lid, size 36, export packaging standard",392310,4,35,위험
P1202,Nitrogen Fertilizer #03,"agricultural grade urea, slow-release coating, size 47, export packaging standard",310210,3,60,위험
P1074,Bare Aluminum Conductor #25,"pure aluminum, drawn wire, size 36, export packaging standard",760511,3,38,위험
P1214,Prilled Urea #15,"46% nitrogen content, moisture-resistant packaging, size 13, export packaging standard",310210,5,55,위험
P1210,Nitrogen Fertilizer #11,"46% nitrogen content, slow-release coating, size 12, export packaging standard",310210,1,58,위험
P1121,LED Downlight #22,"PC lens cover, IP65 rated, size 3, export packaging standard",940540,2,81,정상
P1249,All-Season Car Tire #25,"synthetic rubber compound, DOT certified, size 2, export packaging standard",401110,5,44,위험
P1020,Cotton Jersey Top #21,"100% cotton, round neck, size 35, export packaging standard",610910,2,61,정상
P1188,Wooden Office Desk #14,"solid oak wood, scratch-resistant, size 43, export packaging standard",940360,5,31,위험
P1071,Aluminum Wire Rod #22,"aluminum alloy, drawn wire, size 48, export packaging standard",760511,5,50,위험
P1106,LED Panel Light #07,"polycarbonate diffuser, IP65 rated, size 11, export packaging standard",940540,5,31,정상
P1014,Cotton T-Shirt #15,"combed cotton, knitted, size 32, export packaging standard",610910,3,65,위험
P1092,PET Storage Case #18,"food-grade plastic, reusable, size 10, export packaging standard",392310,0,81,위험
P1179,Wooden Office Desk #05,"FSC-certified wood, flat-pack assembly, size 28, export packaging standard",940360,5,55,위험
P1102,LED Panel Light #03,"PC lens cover, flicker-free, size 15, export packaging standard",940540,2,75,정상
